depth	min.95	max.95	median	mean
90	151	239	198	197
91	155	244	203	202
92	158	255	208	208
93	160	272	212	213
94	161	291	216	218
95	163	313	219	224
96	167	317	224	229
97	171	321	230	234
98	173	328	235	239
99	175	338	239	244
100	176	350	243	250
101	182	353	249	255
102	186	356	255	260
103	187	361	262	265
104	189	366	267	270
105	191	376	271	275
106	197	378	278	281
107	201	380	284	286
108	204	382	291	291
109	206	386	297	297
110	207	394	303	302
111	212	395	307	306
112	217	396	312	311
113	219	399	317	315
114	221	403	322	319
115	222	409	327	324
116	231	410	333	329
117	237	412	338	334
118	240	414	344	339
119	243	418	351	345
120	244	423	357	350
121	259	425	361	356
122	271	427	366	361
123	280	429	371	366
124	284	432	377	372
125	286	438	383	377
126	307	438	386	382
127	327	440	389	387
128	342	442	392	392
129	352	444	397	397
130	359	449	402	402
131	369	475	413	414
132	374	520	420	427
133	376	573	426	439
134	377	628	433	451
135	378	684	438	464
136	387	692	452	476
137	391	704	465	488
138	393	725	476	500
139	395	763	487	513
140	397	810	495	525
141	405	821	507	537
142	409	840	521	549
143	412	858	534	562
144	413	887	544	574
145	414	925	554	586
146	422	938	569	600
147	427	950	582	614
148	429	966	598	627
149	431	998	612	641
150	433	1030	624	655
151	441	1040	637	667
152	448	1052	650	679
153	451	1069	662	691
154	455	1091	674	703
155	459	1121	686	715
156	471	1132	703	730
157	479	1141	720	745
158	483	1151	735	761
159	487	1181	751	776
160	491	1207	766	791
161	507	1217	782	805
162	518	1231	798	819
163	527	1245	814	833
164	531	1271	828	847
165	537	1300	841	862
166	551	1308	856	875
167	561	1315	871	889
168	567	1330	886	903
169	573	1345	902	916
170	576	1362	915	930
171	591	1372	929	943
172	601	1376	944	956
173	609	1385	956	970
174	614	1401	971	983
175	619	1424	983	996
176	635	1435	1000	1011
177	644	1456	1017	1025
178	655	1469	1034	1040
179	659	1489	1051	1055
180	668	1505	1065	1069
181	682	1513	1078	1083
182	699	1521	1089	1096
183	709	1538	1102	1110
184	716	1558	1117	1124
185	725	1591	1132	1137
186	740	1594	1144	1149
187	751	1604	1159	1162
188	762	1611	1173	1174
189	769	1620	1189	1186
190	776	1631	1200	1199
191	799	1637	1213	1213
192	816	1645	1226	1226
193	828	1657	1242	1240
194	837	1670	1255	1254
195	844	1685	1269	1268
196	873	1690	1280	1281
197	888	1698	1294	1294
198	898	1710	1308	1307
199	908	1718	1320	1319
200	918	1729	1335	1332
201	932	1741	1349	1345
202	942	1747	1362	1358
203	955	1758	1375	1371
204	965	1770	1388	1384
205	971	1782	1402	1397
206	985	1788	1415	1410
207	995	1796	1430	1423
208	1005	1803	1442	1437
209	1018	1819	1459	1450
210	1024	1836	1472	1463
211	1050	1841	1489	1478
212	1072	1848	1507	1494
213	1087	1856	1529	1509
214	1096	1865	1546	1525
215	1111	1884	1563	1540
216	1128	1889	1576	1553
217	1143	1894	1589	1565
218	1153	1902	1601	1578
219	1162	1912	1614	1591
220	1172	1922	1628	1603
221	1194	1925	1641	1616
222	1212	1931	1652	1630
223	1223	1939	1666	1643
224	1236	1952	1679	1656
225	1244	1966	1691	1669
226	1261	1972	1703	1683
227	1287	1979	1715	1696
228	1305	1987	1728	1709
229	1319	1993	1743	1722
230	1332	2006	1757	1735
231	1368	2012	1769	1749
232	1398	2018	1783	1763
233	1413	2024	1795	1777
234	1429	2031	1810	1790
235	1442	2044	1824	1804
