depth	min95%	max95%	best	accrate
90	90	108	99	0.4
91	90	108	99	0.5
92	91	108	100	0.61
93	91	109	100	0.72
94	92	109	101	0.83
95	93	110	102	0.93
96	94	111	103	1.04
97	95	112	104	1.15
98	96	113	105	1.26
99	98	114	106	1.37
100	99	116	108	1.48
101	101	117	109	1.59
102	102	119	111	1.7
103	104	121	112	1.81
104	106	122	114	1.92
105	108	124	116	2.03
106	110	126	118	2.14
107	112	129	120	2.26
108	114	131	123	2.37
109	117	133	125	2.48
110	119	136	127	2.59
111	122	138	130	2.71
112	125	141	133	2.82
113	127	144	136	2.93
114	131	147	139	3.05
115	134	150	142	3.16
116	137	153	145	3.28
117	140	156	148	3.39
118	144	160	151	3.51
119	147	163	155	3.62
120	151	167	159	3.74
121	155	171	162	3.86
122	158	175	166	3.97
123	162	179	170	4.09
124	166	183	174	4.21
125	170	187	178	4.32
126	174	192	183	4.44
127	178	196	187	4.56
128	183	201	192	4.68
129	187	206	196	4.8
130	192	211	201	4.92
131	197	216	206	5.04
132	202	221	211	5.16
133	207	227	216	5.28
134	212	232	222	5.41
135	217	238	227	5.53
136	222	244	233	5.66
137	227	250	238	5.79
138	233	256	244	5.92
139	238	262	250	6.05
140	244	269	256	6.18
141	250	275	262	6.31
142	256	282	268	6.44
143	262	289	275	6.58
144	268	297	281	6.71
145	274	304	288	6.85
146	280	311	295	6.99
147	287	319	302	7.13
148	293	327	309	7.27
149	300	335	316	7.41
150	306	343	324	7.55
151	313	352	331	7.7
152	320	360	339	7.84
153	327	369	347	7.99
154	335	377	355	8.14
155	342	386	363	8.29
156	350	395	371	8.44
157	358	404	380	8.59
158	365	414	388	8.74
159	373	423	397	8.89
160	381	433	406	9.05
161	390	443	415	9.21
162	398	453	424	9.36
163	407	463	434	9.52
164	416	474	443	9.68
165	425	484	453	9.84
166	434	495	463	10
167	443	506	473	10.17
168	452	517	483	10.33
169	462	529	493	10.5
170	472	540	504	10.66
171	481	552	514	10.83
172	491	563	525	11
173	501	575	536	11.17
174	512	588	547	11.34
175	522	600	559	11.52
176	533	613	570	11.69
177	544	625	582	11.87
178	555	638	594	12.04
179	566	651	606	12.22
180	577	664	618	12.4
181	589	677	630	12.58
182	600	691	643	12.76
183	612	704	656	12.94
184	624	718	669	13.13
185	637	732	682	13.31
186	649	746	695	13.5
187	662	760	709	13.68
188	675	775	722	13.87
189	689	789	736	14.06
190	702	804	750	14.25
191	715	819	764	14.44
192	729	835	779	14.64
193	743	850	794	14.83
194	757	866	808	15.03
195	771	881	823	15.22
196	786	897	839	15.42
197	800	914	854	15.62
198	815	930	870	15.82
199	830	947	886	16.02
200	845	963	902	16.22
201	860	980	918	16.43
202	876	997	934	16.63
203	892	1014	951	16.84
204	908	1032	968	17.04
205	924	1050	985	17.25
206	940	1068	1002	17.46
207	957	1086	1019	17.67
208	974	1104	1037	17.89
209	991	1123	1055	18.1
210	1008	1142	1073	18.31
211	1026	1161	1091	18.53
212	1044	1180	1110	18.75
213	1062	1199	1129	18.96
214	1080	1219	1148	19.18
215	1099	1239	1167	19.4
216	1117	1259	1186	19.62
217	1136	1279	1206	19.85
218	1156	1300	1226	20.07
219	1175	1321	1246	20.3
220	1195	1342	1266	20.52
221	1215	1363	1287	20.75
222	1235	1384	1307	20.98
223	1256	1406	1328	21.21
224	1276	1428	1349	21.44
225	1297	1450	1371	21.67
226	1318	1472	1393	21.9
227	1339	1495	1414	22.14
228	1360	1518	1437	22.37
229	1382	1541	1459	22.61
230	1404	1564	1482	22.85
231	1427	1587	1504	23.09
232	1450	1611	1528	23.33
233	1473	1635	1551	23.57
234	1496	1659	1574	23.81
235	1519	1683	1598	24.06
236	1542	1708	1622	24.3
237	1566	1733	1647	24.55
238	1590	1758	1671	24.8
239	1614	1783	1696	25.05
240	1639	1809	1721	25.3
241	1664	1835	1746	25.55
242	1689	1861	1772	25.8
243	1714	1887	1798	26.05
244	1741	1914	1824	26.31
245	1767	1941	1850	26.56
246	1794	1968	1877	26.82
247	1820	1995	1903	27.08
248	1847	2022	1930	27.34
249	1874	2050	1958	27.6
250	1901	2078	1985	27.86
251	1929	2107	2013	28.12
252	1957	2135	2041	28.38
253	1985	2164	2070	28.64
254	2013	2193	2098	28.89
255	2041	2222	2127	29.14
256	2070	2251	2156	29.39
257	2099	2281	2186	29.64
258	2129	2310	2215	29.89
259	2158	2341	2245	30.13
260	2188	2371	2276	30.37
261	2218	2402	2306	30.61
262	2248	2433	2337	30.85
263	2278	2464	2367	31.09
264	2308	2496	2398	31.33
265	2339	2528	2430	31.56
266	2370	2561	2461	31.79
267	2400	2594	2493	32.02
268	2431	2627	2525	32.25
269	2463	2660	2557	32.47
270	2495	2692	2590	32.69
271	2529	2725	2623	32.92
272	2561	2758	2655	33.14
273	2592	2792	2689	33.35
274	2624	2826	2722	33.57
275	2657	2861	2756	33.78
276	2691	2897	2789	33.99
277	2724	2932	2823	34.2
278	2758	2967	2858	34.41
279	2792	3003	2892	34.62
280	2826	3038	2927	34.82
281	2860	3073	2961	35.02
282	2894	3109	2996	35.23
283	2929	3145	3032	35.42
284	2964	3181	3067	35.62
285	2999	3218	3103	35.81
286	3035	3256	3138	36.01
287	3070	3293	3174	36.2
288	3105	3330	3211	36.39
289	3141	3367	3247	36.57
290	3177	3405	3284	36.76
291	3213	3443	3320	36.94
292	3248	3481	3357	37.12
293	3285	3519	3394	37.3
294	3321	3557	3432	37.48
295	3358	3595	3469	37.65
296	3394	3633	3507	37.83
297	3431	3672	3545	38
298	3468	3713	3583	38.17
299	3506	3752	3621	38.34
300	3543	3792	3659	38.5
301	3580	3832	3698	38.67
302	3618	3871	3736	38.83
303	3656	3911	3775	38.99
304	3693	3950	3814	39.14
305	3730	3989	3853	39.3
306	3767	4030	3893	39.46
307	3805	4071	3932	39.61
308	3843	4111	3972	39.76
309	3881	4152	4011	39.91
310	3920	4193	4051	40.05
311	3959	4235	4091	40.2
312	3998	4276	4132	40.34
313	4038	4318	4172	40.48
314	4077	4360	4212	40.62
315	4116	4401	4253	40.76
316	4156	4443	4294	40.89
317	4196	4485	4335	41.02
318	4236	4527	4376	41.15
319	4276	4569	4417	41.28
320	4316	4611	4458	41.41
321	4355	4654	4500	41.54
322	4394	4696	4541	41.66
323	4434	4739	4583	41.78
324	4473	4782	4625	41.9
325	4513	4825	4666	42.02
326	4554	4868	4708	42.13
327	4595	4912	4751	42.25
328	4636	4955	4793	42.36
329	4677	4998	4835	42.47
330	4718	5042	4878	42.58
331	4760	5085	4920	42.68
332	4801	5129	4963	42.79
333	4842	5173	5006	42.89
334	4884	5216	5049	42.99
335	4926	5260	5092	43.09
336	4968	5303	5135	43.18
337	5010	5347	5178	43.28
338	5053	5391	5221	43.37
339	5095	5435	5265	43.46
340	5138	5480	5308	43.55
341	5181	5524	5352	43.64
342	5223	5569	5395	43.72
343	5266	5613	5439	43.8
344	5310	5658	5483	43.89
345	5353	5703	5527	43.96
346	5396	5748	5571	44.04
347	5440	5794	5615	44.12
348	5483	5840	5659	44.19
349	5527	5886	5703	44.26
