depth	min95%	max95%	best	accrate
90	170	230	200	5
91	176	234	205	5
92	181	239	210	5
93	188	243	215	5
94	193	247	220	5
95	199	251	225	5
96	204	256	230	5
97	210	260	235	5
98	216	264	240	5
99	222	268	245	5
100	227	273	250	5
101	233	277	255	5
102	238	282	260	5
103	243	286	265	5
104	249	292	270	5
105	254	296	275	5
106	259	302	280	5
107	263	307	285	5
108	268	311	290	5
109	273	316	295	5
110	279	321	300	5
111	285	326	305	5
112	290	331	310	5
113	295	336	315	5
114	300	341	320	5
115	304	346	325	5
116	309	351	330	5
117	313	357	335	5
118	318	362	340	5
119	322	367	345	5
120	327	373	350	5
121	332	378	355	5
122	336	384	360	5
123	341	389	365	5
124	345	395	370	5
125	349	401	375	5
126	353	406	380	5
127	358	412	385	5
128	362	419	390	5
129	366	424	395	5
130	371	430	400	13.34
131	384	443	414	13.34
132	398	456	427	13.34
133	411	469	440	13.34
134	425	482	454	13.34
135	439	495	467	13.34
136	452	509	480	13.34
137	466	522	494	13.34
138	479	535	507	13.34
139	492	549	520	13.34
140	506	562	534	13.34
141	519	575	547	13.34
142	533	589	560	13.34
143	546	603	574	13.34
144	560	617	587	13.34
145	573	630	600	13.34
146	586	644	614	13.34
147	599	657	627	13.34
148	612	670	640	13.34
149	626	684	654	13.34
150	638	698	667	13.34
151	652	711	681	13.34
152	665	725	694	13.34
153	678	739	707	13.34
154	690	752	721	13.34
155	704	766	734	13.34
156	718	779	747	13.34
157	730	793	761	13.34
158	743	807	774	13.34
159	755	821	787	13.34
160	768	834	801	13.34
161	781	848	814	13.34
162	793	861	827	13.34
163	806	875	841	13.34
164	818	889	854	13.34
165	831	903	867	13.34
166	844	917	881	13.34
167	857	930	894	13.34
168	869	945	907	13.34
169	882	958	921	13.34
170	895	972	934	13.34
171	908	986	947	13.34
172	921	999	961	13.34
173	934	1013	974	13.34
174	947	1027	987	13.34
175	960	1040	1001	13.34
176	973	1055	1014	13.34
177	985	1069	1027	13.34
178	998	1083	1041	13.34
179	1010	1097	1054	13.34
180	1023	1111	1067	13.34
181	1036	1125	1081	13.34
182	1049	1139	1094	13.34
183	1062	1153	1107	13.34
184	1074	1167	1121	13.34
185	1087	1181	1134	13.34
186	1099	1195	1147	13.34
187	1112	1209	1161	13.34
188	1124	1224	1174	13.34
189	1137	1238	1187	13.34
190	1150	1252	1201	13.34
191	1162	1266	1214	13.34
192	1175	1280	1227	13.34
193	1187	1294	1241	13.34
194	1200	1308	1254	13.34
195	1212	1322	1267	13.34
196	1225	1336	1281	13.34
197	1237	1349	1294	13.34
198	1250	1363	1308	13.34
199	1263	1377	1321	13.34
200	1276	1391	1334	13.34
201	1288	1405	1348	13.34
202	1300	1419	1361	13.34
203	1313	1433	1374	13.34
204	1325	1447	1388	13.34
205	1338	1461	1401	13.34
206	1350	1475	1414	13.34
207	1363	1489	1428	13.34
208	1375	1503	1441	13.34
209	1388	1517	1454	13.34
210	1400	1531	1468	13.34
211	1412	1545	1481	13.34
212	1425	1559	1494	13.34
213	1437	1573	1508	13.34
214	1450	1587	1521	13.34
215	1462	1601	1534	13.34
216	1474	1615	1548	13.34
217	1487	1630	1561	13.34
218	1499	1644	1574	13.34
219	1512	1658	1588	13.34
220	1524	1672	1601	13.34
221	1537	1686	1614	13.34
222	1549	1701	1628	13.34
223	1562	1715	1641	13.34
224	1575	1729	1654	13.34
225	1588	1744	1668	13.34
226	1600	1758	1681	13.34
227	1613	1772	1694	13.34
228	1626	1786	1708	13.34
229	1638	1800	1721	13.34
230	1651	1814	1734	13.34
231	1664	1828	1748	13.34
232	1677	1842	1761	13.34
233	1689	1856	1774	13.34
234	1702	1870	1788	13.34
235	1714	1884	1801	13.34
236	1727	1898	1814	13.34
237	1740	1912	1828	13.34
238	1752	1926	1841	13.34
239	1765	1940	1854	13.34
240	1777	1954	1868	13.34
241	1790	1968	1881	13.34
242	1803	1982	1894	13.34
243	1815	1996	1908	13.34
244	1828	2010	1921	13.34
245	1841	2024	1935	13.34
246	1853	2038	1948	13.34
247	1866	2052	1961	13.34
248	1879	2067	1975	13.34
249	1891	2081	1988	13.34
250	1904	2095	2001	13.34
251	1918	2108	2015	13.34
252	1932	2121	2028	13.34
253	1945	2134	2041	13.34
254	1959	2148	2055	13.34
255	1973	2161	2068	13.34
256	1987	2175	2081	13.34
257	2001	2188	2095	13.34
258	2015	2201	2108	13.34
259	2029	2214	2121	13.34
260	2042	2227	2135	13.34
261	2056	2240	2148	13.34
262	2070	2253	2161	13.34
263	2084	2266	2175	13.34
264	2098	2279	2188	13.34
265	2112	2292	2201	13.34
266	2126	2305	2215	13.34
267	2140	2318	2228	13.34
268	2154	2331	2241	13.34
269	2167	2344	2255	13.34
270	2181	2357	2268	13.34
271	2194	2370	2281	13.34
272	2208	2383	2295	13.34
273	2221	2396	2308	13.34
274	2235	2409	2321	13.34
275	2249	2423	2335	13.34
276	2262	2436	2348	13.34
277	2275	2449	2361	13.34
278	2288	2462	2375	13.34
279	2302	2475	2388	13.34
280	2316	2488	2401	13.34
281	2328	2501	2415	13.34
282	2341	2514	2428	13.34
283	2354	2527	2441	13.34
284	2367	2540	2455	13.34
285	2381	2553	2468	13.34
286	2393	2567	2481	13.34
287	2407	2581	2495	13.34
288	2421	2594	2508	13.34
289	2434	2608	2521	13.34
290	2447	2623	2535	13.34
291	2461	2637	2548	13.34
292	2474	2650	2561	13.34
293	2486	2663	2575	13.34
294	2499	2677	2588	13.34
295	2512	2691	2601	13.34
296	2525	2705	2615	13.34
297	2538	2719	2628	13.34
298	2551	2733	2641	13.34
299	2564	2747	2655	13.34
300	2577	2761	2668	13.34
301	2590	2776	2681	13.34
302	2603	2790	2695	13.34
303	2617	2804	2708	13.34
304	2631	2817	2721	13.34
305	2644	2832	2735	13.34
306	2656	2846	2748	13.34
307	2669	2859	2761	13.34
308	2682	2872	2775	13.34
309	2696	2885	2788	13.34
310	2709	2897	2801	13.34
311	2721	2911	2815	13.34
312	2733	2925	2828	13.34
313	2746	2939	2841	13.34
314	2758	2953	2855	13.34
315	2770	2967	2868	13.34
316	2783	2981	2881	13.34
317	2795	2995	2895	13.34
318	2807	3009	2908	13.34
319	2820	3024	2921	13.34
320	2833	3038	2935	13.34
321	2846	3052	2948	13.34
322	2859	3066	2961	13.34
323	2872	3080	2975	13.34
324	2884	3094	2988	13.34
325	2895	3108	3001	13.34
326	2908	3121	3015	13.34
327	2922	3135	3028	13.34
328	2934	3149	3041	13.34
329	2946	3164	3055	13.34
330	2959	3178	3068	13.34
331	2970	3192	3081	13.34
332	2983	3207	3095	13.34
333	2996	3221	3108	13.34
334	3009	3235	3121	13.34
335	3022	3250	3135	13.34
336	3035	3264	3148	13.34
337	3048	3278	3161	13.34
338	3061	3291	3175	13.34
339	3074	3305	3188	13.34
340	3087	3320	3201	13.34
341	3099	3334	3215	13.34
342	3112	3349	3228	13.34
343	3125	3364	3241	13.34
344	3137	3378	3255	13.34
345	3149	3394	3268	13.34
346	3161	3409	3281	13.34
347	3173	3424	3295	13.34
348	3185	3438	3308	13.34
349	3197	3452	3321	13.34
350	3208	3467	3335	13.34
351	3221	3481	3348	13.34
352	3233	3495	3361	13.34
353	3244	3509	3375	13.34
354	3256	3523	3388	13.34
355	3268	3537	3401	13.34
356	3281	3551	3415	13.34
357	3292	3565	3428	13.34
358	3304	3580	3441	13.34
359	3315	3594	3455	13.34
360	3327	3609	3468	13.34
361	3339	3624	3481	13.34
362	3351	3639	3495	13.34
363	3363	3654	3508	13.34
364	3375	3669	3522	13.34
365	3387	3684	3535	13.34
366	3399	3699	3548	13.34
367	3411	3714	3562	13.34
368	3423	3728	3575	13.34
369	3434	3742	3588	13.34
370	3446	3756	3602	13.34
371	3458	3770	3615	13.34
372	3471	3784	3628	13.34
373	3483	3799	3642	13.34
374	3495	3814	3655	13.34
375	3507	3828	3668	13.34
376	3519	3843	3682	13.34
377	3531	3857	3695	13.34
378	3542	3872	3708	13.34
379	3554	3887	3722	13.34
380	3566	3901	3735	13.34
381	3578	3915	3748	13.34
382	3589	3929	3762	13.34
383	3601	3943	3775	13.34
384	3613	3957	3788	13.34
385	3625	3971	3802	13.34
386	3637	3985	3815	13.34
387	3648	3999	3828	13.34
388	3660	4014	3842	13.34
389	3672	4029	3855	13.34
390	3685	4044	3868	13.34
391	3697	4059	3882	13.34
392	3710	4074	3895	13.34
393	3722	4089	3908	13.34
394	3733	4104	3922	13.34
395	3745	4119	3935	13.34
396	3756	4134	3948	13.34
397	3768	4149	3962	13.34
398	3779	4164	3975	13.34
399	3792	4179	3988	13.34
400	3804	4194	4002	14.04
401	3820	4203	4016	14.04
402	3836	4215	4030	14.04
403	3852	4227	4044	14.04
404	3867	4238	4058	14.04
405	3883	4249	4072	14.04
406	3899	4261	4086	14.04
407	3913	4277	4100	14.04
408	3928	4292	4114	14.04
409	3943	4304	4128	14.04
410	3956	4318	4142	14.04
411	3970	4332	4156	14.04
412	3984	4348	4170	14.04
413	3999	4363	4184	14.04
414	4014	4377	4198	14.04
415	4028	4392	4212	14.04
416	4046	4404	4226	14.04
417	4061	4416	4240	14.04
418	4078	4431	4254	14.04
419	4093	4446	4268	14.04
420	4107	4459	4282	14.04
421	4122	4473	4296	14.04
422	4135	4486	4311	14.04
423	4150	4499	4325	14.04
424	4163	4515	4339	14.04
425	4178	4531	4353	14.04
426	4191	4547	4367	14.04
427	4204	4561	4381	14.04
428	4217	4573	4395	14.04
429	4231	4586	4409	14.04
430	4244	4601	4423	14.04
431	4258	4617	4437	14.04
432	4271	4631	4451	14.04
433	4282	4645	4465	14.04
434	4292	4658	4479	14.04
435	4306	4674	4493	14.04
436	4314	4691	4507	14.04
437	4326	4708	4521	14.04
438	4339	4725	4535	14.04
439	4351	4740	4549	14.04
440	4363	4758	4563	14.04
441	4375	4777	4577	14.04
442	4388	4794	4591	14.04
443	4397	4811	4605	14.04
444	4408	4829	4619	14.04
445	4419	4846	4633	14.04
446	4430	4863	4647	14.04
447	4441	4880	4662	14.04
448	4452	4897	4676	14.04
449	4463	4912	4690	14.04
450	4473	4928	4704	14.04
451	4484	4945	4718	14.04
452	4495	4962	4732	14.04
453	4506	4979	4746	14.04
454	4516	4996	4760	14.04
455	4524	5013	4774	14.04
456	4535	5030	4788	14.04
457	4545	5047	4802	14.04
458	4555	5063	4816	14.04
459	4566	5080	4830	14.04
460	4576	5098	4844	14.04
461	4586	5116	4858	14.04
462	4596	5134	4872	14.04
463	4605	5153	4886	14.04
464	4615	5167	4900	14.04
465	4624	5184	4914	14.04
466	4634	5202	4928	14.04
467	4644	5219	4942	14.04
468	4653	5237	4956	14.04
469	4663	5255	4970	14.04
470	4673	5272	4984	14.04
471	4682	5290	4999	14.04
472	4691	5308	5013	14.04
473	4701	5326	5027	14.04
474	4710	5344	5041	14.04
475	4719	5362	5055	14.04
476	4730	5380	5069	14.04
477	4740	5398	5083	14.04
478	4750	5416	5097	14.04
479	4760	5434	5111	14.04
480	4771	5452	5125	14.04
481	4781	5468	5139	14.04
482	4791	5485	5153	14.04
483	4801	5502	5167	14.04
484	4812	5519	5181	14.04
485	4822	5536	5195	14.04
486	4832	5553	5209	14.04
487	4843	5571	5223	14.04
488	4853	5589	5237	14.04
489	4863	5607	5251	14.04
490	4874	5626	5265	14.04
491	4884	5644	5279	14.04
492	4894	5663	5293	14.04
493	4905	5682	5307	14.04
494	4916	5701	5321	14.04
495	4927	5720	5336	14.04
496	4937	5738	5350	14.04
497	4946	5757	5364	14.04
498	4956	5776	5378	14.04
499	4967	5794	5392	14.04
500	4977	5812	5406	10.63
501	4990	5819	5416	10.63
502	5003	5827	5427	10.63
503	5017	5834	5438	10.63
504	5030	5842	5448	10.63
505	5043	5849	5459	10.63
506	5057	5856	5469	10.63
507	5074	5863	5480	10.63
508	5086	5870	5491	10.63
509	5097	5878	5501	10.63
510	5110	5890	5512	10.63
511	5123	5900	5523	10.63
512	5136	5907	5533	10.63
513	5150	5918	5544	10.63
514	5163	5927	5555	10.63
515	5176	5935	5565	10.63
516	5189	5940	5576	10.63
517	5203	5952	5586	10.63
518	5216	5960	5597	10.63
519	5229	5969	5608	10.63
520	5241	5978	5618	10.63
521	5254	5986	5629	10.63
522	5267	5995	5640	10.63
523	5280	6003	5650	10.63
524	5294	6014	5661	10.63
525	5307	6026	5671	10.63
526	5322	6037	5682	10.63
527	5334	6048	5693	10.63
528	5347	6061	5703	10.63
529	5359	6074	5714	10.63
530	5369	6082	5725	10.63
531	5378	6091	5735	10.63
532	5388	6100	5746	10.63
533	5399	6108	5757	10.63
534	5413	6115	5767	10.63
535	5425	6123	5778	10.63
536	5441	6133	5788	10.63
537	5453	6144	5799	10.63
538	5464	6153	5810	10.63
539	5474	6164	5820	10.63
540	5487	6172	5831	10.63
541	5498	6182	5842	10.63
542	5511	6192	5852	10.63
543	5521	6203	5863	10.63
544	5531	6213	5873	10.63
545	5540	6223	5884	10.63
546	5550	6231	5895	10.63
547	5561	6238	5905	10.63
548	5573	6250	5916	10.63
549	5585	6262	5927	10.63
550	5595	6274	5937	10.63
551	5604	6286	5948	10.63
552	5617	6295	5958	10.63
553	5623	6308	5969	10.63
554	5632	6317	5980	10.63
555	5643	6326	5990	10.63
556	5653	6336	6001	10.63
557	5667	6347	6012	10.63
558	5680	6360	6022	10.63
559	5690	6369	6033	10.63
560	5704	6380	6044	10.63
561	5714	6392	6054	10.63
562	5725	6403	6065	10.63
563	5735	6414	6075	10.63
564	5741	6425	6086	10.63
565	5751	6436	6097	10.63
566	5761	6449	6107	10.63
567	5771	6461	6118	10.63
568	5780	6474	6129	10.63
569	5788	6488	6139	10.63
570	5798	6501	6150	10.63
571	5805	6514	6160	10.63
572	5812	6527	6171	10.63
573	5819	6540	6182	10.63
574	5827	6553	6192	10.63
575	5834	6566	6203	10.63
576	5841	6579	6214	10.63
577	5851	6594	6224	10.63
