depth	min95%	max95%	best	accrate
90	91	110	100	-0.55
91	91	109	100	-0.4
92	90	108	99	-0.24
93	90	108	99	-0.09
94	90	108	99	0.07
95	91	107	99	0.23
96	91	107	99	0.38
97	92	107	99	0.54
98	92	108	100	0.7
99	93	108	101	0.85
100	94	109	102	1.01
101	95	110	103	1.16
102	96	111	104	1.32
103	98	112	105	1.48
104	99	114	107	1.63
105	101	115	108	1.79
106	102	117	110	1.95
107	104	119	112	2.1
108	107	121	114	2.26
109	109	124	116	2.41
110	112	126	119	2.57
111	114	128	121	2.73
112	117	132	124	2.88
113	120	135	127	3.04
114	123	138	130	3.2
115	126	141	133	3.35
116	129	144	136	3.51
117	133	148	140	3.66
118	136	152	144	3.82
119	140	156	147	3.98
120	144	160	151	4.13
121	148	164	156	4.29
122	152	168	160	4.45
123	156	173	164	4.6
124	160	178	169	4.76
125	165	182	174	4.91
126	170	187	179	5.07
127	175	193	184	5.23
128	180	198	189	5.38
129	185	203	194	5.54
130	190	209	200	5.63
131	195	215	205	5.66
132	201	221	211	5.7
133	207	227	217	5.74
134	212	233	223	5.78
135	218	238	228	5.82
136	224	245	234	5.87
137	229	251	240	5.92
138	235	257	246	5.97
139	241	263	252	6.03
140	247	269	258	6.09
141	253	275	264	6.16
142	259	282	270	6.22
143	265	288	276	6.29
144	271	294	283	6.37
145	278	301	289	6.44
146	284	307	295	6.52
147	291	314	302	6.6
148	297	321	309	6.69
149	303	327	315	6.78
150	310	334	322	6.87
151	317	341	329	6.97
152	324	348	336	7.07
153	330	356	343	7.17
154	337	363	350	7.27
155	344	370	357	7.38
156	352	378	365	7.49
157	359	386	372	7.61
158	366	394	380	7.73
159	374	401	388	7.85
160	381	409	395	7.97
161	389	417	403	8.1
162	397	426	412	8.23
163	405	435	420	8.36
164	413	443	428	8.5
165	421	452	437	8.64
166	430	461	445	8.78
167	438	470	454	8.93
168	447	479	463	9.08
169	456	488	472	9.23
170	464	498	481	9.39
171	474	507	491	9.55
172	483	517	500	9.71
173	492	527	510	9.88
174	502	537	520	10.05
175	511	548	530	10.22
176	521	558	540	10.39
177	531	569	551	10.57
178	541	580	561	10.75
179	551	591	572	10.94
180	562	602	583	11.13
181	572	614	594	11.32
182	583	626	605	11.51
183	594	638	617	11.71
184	605	650	628	11.91
185	617	663	640	12.12
186	628	675	652	12.32
187	640	688	665	12.53
