depth	min95%	max95%	best	accrate
90	-116	85	43	3.44
91	-108	87	46	3.44
92	-101	89	50	3.45
93	-94	91	53	3.46
94	-87	94	56	3.47
95	-79	97	60	3.49
96	-72	99	63	3.51
97	-65	101	67	3.53
98	-58	104	70	3.55
99	-50	107	74	3.58
100	-43	109	78	3.62
101	-36	112	81	3.65
102	-28	115	85	3.69
103	-19	118	89	3.73
104	-12	120	92	3.78
105	-6	123	96	3.83
106	1	126	100	3.88
107	8	130	104	3.93
108	16	133	108	3.99
109	22	136	112	4.05
110	29	140	116	4.12
111	37	144	120	4.19
112	45	147	124	4.26
113	53	151	128	4.33
114	61	156	133	4.41
115	69	161	137	4.49
116	76	165	142	4.58
117	84	171	146	4.67
118	92	177	151	4.76
119	100	184	156	4.85
120	108	189	160	4.95
121	117	195	165	5.05
122	124	202	170	5.15
123	133	209	176	5.26
124	142	216	181	5.37
125	150	223	186	5.48
126	157	230	192	5.6
127	165	239	197	5.72
128	173	247	203	5.84
129	180	255	209	5.97
130	187	264	215	6.1
131	194	273	221	6.23
132	199	283	227	6.37
133	205	294	234	6.5
134	211	306	240	6.64
135	219	318	247	6.78
136	224	326	253	6.92
137	230	338	260	7.06
138	235	350	267	7.21
139	241	362	275	7.35
140	247	375	282	7.5
141	253	387	289	7.65
142	258	400	297	7.81
143	264	411	305	7.96
144	271	423	313	8.12
145	277	436	321	8.28
146	283	448	329	8.44
147	290	461	338	8.6
148	296	475	346	8.76
149	303	488	355	8.93
150	310	502	364	9.1
151	318	516	373	9.27
152	325	530	382	9.44
153	332	544	392	9.62
154	340	560	401	9.79
155	348	575	411	9.97
156	356	590	421	10.15
157	364	606	431	10.33
158	373	622	442	10.51
159	381	638	452	10.7
160	389	655	463	10.89
161	398	673	474	11.08
162	407	691	485	11.27
163	416	709	496	11.46
164	425	727	508	11.65
165	435	746	519	11.85
166	445	764	531	12.05
167	455	783	543	12.25
168	465	802	555	12.45
169	476	821	568	12.66
170	487	840	581	12.86
171	498	860	593	13.07
172	509	880	606	13.28
173	520	900	620	13.5
174	532	920	633	13.71
175	543	941	647	13.93
176	555	962	661	14.14
177	567	983	675	14.36
178	580	1004	689	14.59
179	592	1026	704	14.81
180	605	1048	719	15.03
181	617	1070	734	15.26
182	631	1092	749	15.49
183	644	1115	765	15.72
184	658	1138	780	15.96
185	672	1161	796	16.19
186	686	1184	812	16.43
187	700	1208	829	16.67
188	715	1232	846	16.91
189	730	1256	862	17.15
190	746	1280	880	17.4
191	761	1304	897	17.64
192	777	1329	915	17.89
193	793	1354	933	18.14
194	810	1379	951	18.39
195	826	1405	969	18.65
196	843	1430	988	18.9
197	860	1456	1007	19.16
198	878	1482	1026	19.42
199	895	1509	1045	19.68
200	913	1535	1065	19.95
201	932	1562	1085	20.21
202	950	1589	1105	20.48
203	968	1617	1126	20.75
204	987	1644	1146	21.02
205	1006	1672	1167	21.3
206	1025	1700	1189	21.57
207	1045	1728	1210	21.85
208	1066	1756	1232	22.13
209	1086	1784	1254	22.41
210	1107	1813	1277	22.69
211	1128	1842	1299	22.98
212	1150	1871	1322	23.27
213	1172	1900	1345	23.55
214	1194	1929	1369	23.84
215	1217	1959	1393	24.14
216	1239	1989	1417	24.43
217	1262	2019	1441	24.73
218	1286	2050	1466	25.03
219	1310	2081	1491	25.33
220	1333	2111	1517	25.63
221	1358	2143	1542	25.93
222	1381	2174	1568	26.24
223	1403	2206	1594	26.55
224	1428	2237	1621	26.86
225	1454	2270	1648	27.17
226	1479	2302	1675	27.48
227	1505	2334	1702	27.8
228	1532	2367	1730	28.12
229	1558	2400	1758	28.44
230	1585	2433	1787	28.76
231	1613	2467	1815	29.08
232	1640	2501	1845	29.4
233	1669	2534	1874	29.73
234	1699	2569	1904	30.06
235	1727	2603	1934	30.39
236	1756	2638	1964	30.72
237	1785	2672	1995	31.06
238	1810	2708	2026	31.4
239	1840	2743	2057	31.73
240	1868	2778	2089	32.08
241	1896	2814	2121	32.42
242	1926	2850	2154	32.76
243	1958	2886	2186	33.11
244	1990	2923	2219	33.46
245	2021	2959	2253	33.81
246	2050	2996	2287	34.16
247	2081	3033	2321	34.51
248	2114	3070	2355	34.87
249	2146	3108	2390	35.23
250	2178	3146	2425	35.58
251	2213	3184	2461	35.94
252	2249	3222	2497	36.29
253	2285	3260	2533	36.64
254	2319	3299	2570	36.98
255	2351	3338	2607	37.32
256	2384	3377	2644	37.66
257	2420	3416	2682	37.99
258	2456	3456	2720	38.32
259	2491	3495	2758	38.64
260	2525	3535	2797	38.96
261	2559	3574	2836	39.28
262	2594	3614	2875	39.59
263	2628	3654	2915	39.9
264	2662	3694	2955	40.2
265	2697	3735	2995	40.51
266	2734	3775	3035	40.8
267	2771	3816	3076	41.09
268	2808	3857	3117	41.38
269	2846	3898	3159	41.67
270	2886	3940	3200	41.95
271	2922	3981	3242	42.22
272	2958	4023	3284	42.5
273	2995	4065	3327	42.77
274	3032	4107	3370	43.03
275	3069	4149	3413	43.29
276	3107	4191	3456	43.55
277	3144	4234	3500	43.8
278	3182	4276	3543	44.05
279	3220	4319	3587	44.3
280	3259	4362	3632	44.54
281	3297	4405	3676	44.77
282	3336	4448	3721	45.01
283	3375	4492	3766	45.24
284	3415	4535	3811	45.46
285	3455	4578	3857	45.68
286	3496	4620	3902	45.9
287	3538	4663	3948	46.11
288	3579	4708	3994	46.32
289	3621	4753	4041	46.53
290	3663	4798	4087	46.73
291	3706	4843	4134	46.93
292	3748	4888	4181	47.12
293	3791	4933	4228	47.31
294	3834	4978	4275	47.5
295	3877	5023	4323	47.68
296	3920	5068	4371	47.86
297	3964	5113	4418	48.03
298	4007	5159	4466	48.2
299	4051	5204	4515	48.36
300	4095	5250	4563	48.53
301	4139	5296	4611	48.68
302	4183	5342	4660	48.84
303	4228	5388	4709	48.99
304	4272	5434	4758	49.14
305	4317	5480	4807	49.28
306	4362	5526	4856	49.42
307	4406	5572	4906	49.55
308	4450	5619	4955	49.68
309	4495	5665	5005	49.81
310	4539	5712	5055	49.93
311	4583	5758	5105	50.05
312	4628	5804	5155	50.16
313	4673	5851	5205	50.27
314	4717	5894	5255	50.38
315	4762	5941	5306	50.48
316	4807	5987	5356	50.58
317	4851	6034	5407	50.68
318	4895	6081	5457	50.77
319	4939	6129	5508	50.85
320	4982	6176	5559	50.94
321	5026	6224	5610	51.01
322	5070	6271	5661	51.09
323	5115	6319	5712	51.16
324	5159	6366	5763	51.23
325	5203	6413	5814	51.29
326	5248	6460	5866	51.35
327	5293	6507	5917	51.41
328	5337	6554	5968	51.46
329	5382	6602	6020	51.5
330	5427	6649	6071	51.55
331	5472	6696	6123	51.59
332	5517	6743	6175	51.62
333	5562	6790	6226	51.65
334	5607	6837	6278	51.68
335	5652	6884	6330	51.7
336	5697	6931	6381	51.72
337	5743	6978	6433	51.74
338	5791	7025	6485	51.75
339	5840	7072	6536	51.76
340	5888	7120	6588	51.76
341	5936	7168	6640	51.76
342	5985	7216	6692	51.76
343	6033	7265	6744	51.75
344	6081	7310	6795	51.74
345	6130	7354	6847	51.72
346	6178	7401	6899	51.7
347	6227	7448	6950	51.68
348	6275	7496	7002	51.65
349	6324	7544	7054	51.62
350	6372	7592	7105	51.58
351	6421	7639	7157	51.54
352	6469	7685	7209	51.5
353	6514	7732	7260	51.45
354	6559	7778	7311	51.4
355	6604	7824	7363	51.35
356	6649	7871	7414	51.29
357	6694	7918	7465	51.22
358	6739	7964	7517	51.16
359	6784	8011	7568	51.08
360	6829	8057	7619	51.01
361	6874	8104	7670	50.93
362	6919	8150	7721	50.85
363	6964	8197	7772	50.76
364	7009	8243	7823	50.67
365	7054	8289	7873	50.57
366	7099	8334	7924	50.47
367	7144	8379	7974	50.37
368	7189	8424	8025	50.27
369	7234	8469	8075	50.15
370	7280	8514	8125	50.04
371	7327	8559	8175	49.92
372	7374	8603	8225	49.8
373	7420	8647	8275	49.67
374	7467	8692	8324	49.54
375	7514	8736	8374	49.41
376	7561	8779	8423	49.27
377	7607	8823	8473	49.13
378	7654	8867	8522	48.98
379	7700	8912	8571	48.83
